자치구,가로등수,CCTV수,총범죄,인구수,위도,경도,클러스터
강남구,1761.0,7007.0,9955.0,563215,37.5172,127.0473,1
강동구,1426.0,3191.0,5227.0,481474,37.5301,127.1238,0
강북구,49.0,2858.0,3563.0,289374,37.6398,127.0255,2
강서구,1562.0,3210.0,6397.0,562194,37.5509,126.8495,1
관악구,2095.0,5366.0,7136.0,495620,37.4781,126.9516,0
광진구,1887.0,4091.0,5285.0,348652,37.5385,127.0823,0
구로구,1141.0,4050.0,5574.0,411916,37.4955,126.8877,0
동작구,1275.0,2650.0,4022.0,387352,37.5124,126.9396,0
마포구,654.0,2450.0,5760.0,372745,37.5663,126.9014,0
송파구,1787.0,3094.0,7963.0,656310,37.5145,127.1059,1
영등포구,896.0,2899.0,6604.0,397173,37.5264,126.8963,0
용산구,560.0,1078.0,4250.0,217194,37.5323,126.9907,2
종로구,18.0,1930.0,4399.0,149608,37.5729,126.9793,2
중구,590.0,2336.0,5089.0,131214,37.5634,126.9976,2
중랑구,1573.0,3471.0,4903.0,385349,37.6063,127.0927,0
